wc,education,marital status,race,gender,IncomeClass
 Private, HS-grad, Divorced, White, Male,<=50K
 Private, Bachelors,Married, Black, Female,<=50K
 Private, Masters,Married, White, Female,<=50K
 Private, Masters, Never-married, White, Female,>50K
 Private, Bachelors,Married, White, Male,>50K
 Private, Some-college,Married, Black, Male,>50K
 Private, Bachelors, Never-married, White, Female,<=50K
 Private, HS-grad, Never-married, White, Male,<=50K
 Private, Doctorate,Married, White, Male,>50K
 Private, HS-grad, Divorced, White, Female,<=50K
 Local-gov, Bachelors,Married, White, Male,>50K
 Private, HS-grad, Never-married, White, Male,<=50K
 Private, HS-grad, Divorced, White, Male,<=50K
 Private, HS-grad,Married, White, Male,<=50K
 Private, Some-college, Never-married, Black, Male,<=50K
 Private, Bachelors, Divorced, White, Male,<=50K
 Federal-gov, Some-college,Married, White, Male,<=50K
 Private, Some-college, Never-married, White, Male,<=50K
 Private, HS-grad,Married, White, Female,<=50K
 Private, Some-college,Married, White, Male,>50K
 Private, Bachelors,Married, White, Male,<=50K
 Private, HS-grad, Never-married, White, Male,<=50K
 Federal-gov, Bachelors,Married, Black, Male,>50K
 Private, HS-grad,Married, White, Male,<=50K
 Private, Masters, Divorced, White, Female,<=50K
 Private, Some-college,Married, Other, Female,<=50K
 Private, HS-grad, Never-married, White, Female,<=50K
 Private, Prof-school,Married, White, Female,>50K
 Federal-gov, Bachelors, Divorced, White, Male,>50K
 Private, Some-college,Married, White, Male,>50K
 Private, HS-grad,Married, White, Male,<=50K
 Private, HS-grad,Married, White, Male,<=50K
 Private, Bachelors,Married, White, Male,<=50K
 Private, HS-grad,Married, White, Male,<=50K
 Private, Doctorate,Married, White, Male,>50K
 Private, Some-college, Divorced, White, Male,<=50K
 Private, HS-grad,Married, White, Male,<=50K
 Private, Some-college, Divorced, White, Female,<=50K
 Private, HS-grad,Married, White, Female,>50K
 Private, Some-college, Never-married, White, Male,<=50K
 Private, Some-college, Never-married, White, Male,<=50K
 Private, Some-college,Married, White, Male,<=50K
 Private, HS-grad, Never-married, White, Male,<=50K
 Private, HS-grad, Never-married, White, Male,<=50K
 Private, Bachelors,Married, White, Male,<=50K
 Private, HS-grad,Married, White, Female,<=50K
 Private, HS-grad,Married, White, Male,<=50K
 Private, HS-grad, Divorced, White, Female,>50K
 Private, HS-grad, Divorced, White, Female,<=50K
 Local-gov, HS-grad,Married, White, Male,>50K
 Private, Masters,Married, White, Male,<=50K
 Federal-gov, Doctorate, Never-married, White, Female,>50K
 Private, Some-college, Divorced, White, Female,<=50K
 Private, Some-college, Divorced, Black, Female,<=50K
 Private, HS-grad,Married, Asian-Pac-Islander, Female,<=50K
 Local-gov, Bachelors,Married, White, Male,>50K
 Local-gov, Some-college, Never-married, White, Male,<=50K
 Private, Some-college,Married, White, Male,>50K
 Federal-gov, HS-grad, Never-married, Black, Male,<=50K
 Private, Masters,Married, White, Male,>50K
 Private, Bachelors,Married, White, Male,>50K
 Private, Some-college, Never-married, White, Female,<=50K
 Private, HS-grad, Never-married, White, Male,<=50K
 Local-gov, HS-grad, Never-married, White, Female,<=50K
 Private, HS-grad,Married, White, Male,<=50K
 Private, Bachelors, Never-married, White, Male,<=50K
 Private, Prof-school,Married, White, Male,>50K
 Private, Some-college,Married, White, Female,<=50K
 Private, HS-grad, Never-married, White, Female,<=50K
 Private, Some-college,Married, White, Male,<=50K
 Private, HS-grad, Never-married, White, Male,<=50K
 Private, Some-college, Never-married, White, Female,<=50K
 Private, Bachelors,Married, White, Male,<=50K
 Private, Bachelors, Never-married, Black, Male,<=50K
 Private, Some-college, Never-married, Black, Male,<=50K
 Private, Bachelors,Married, White, Female,>50K
 Private, Some-college, Never-married, White, Female,<=50K
